Year,total_emissions_million_metric_tons
1950,2382.0
1951,2442.6
1952,2503.2
1953,2563.8
1954,2624.4
1955,2685.0
1956,2730.6000000000004
1957,2776.2
1958,2821.8
1959,2867.3999999999996
1960,2913.0
1961,3022.8
1962,3132.6000000000004
1963,3242.3999999999996
1964,3352.2
1965,3462.0
1966,3621.9999999999995
1967,3782.0
1968,3942.0
1969,4102.0
1970,4262.0
1971,4295.0
1972,4328.0
1973,4361.0
1974,4394.0
1975,4427.0
1976,4491.6
1977,4556.2
1978,4620.8
1979,4685.4
1980,4750.0
1981,4717.6
1982,4685.200000000001
1983,4652.799999999999
1984,4620.4
1985,4588.0
1986,4678.6
1987,4769.2
1988,4859.8
1989,4950.4
1990,5041.0
1991,4994.0
1992,5095.0
1993,5185.0
1994,5263.0
1995,5323.0
1996,5513.0
1997,5583.0
1998,5631.0
1999,5693.0
2000,5867.0
2001,5764.0
2002,5810.0
2003,5860.0
2004,5978.0
2005,5999.0
2006,5913.0
2007,6004.0
2008,5817.0
2009,5392.0
2010,5585.0
2011,5446.0
2012,5229.0
2013,5355.0
2014,5413.0
2015,5263.0
2016,5171.0
2017,5132.0
2018,5282.0
2019,5130.0
