Figure 5. Energy-related CO2 by end-use sectors 1990–2019
https://www.eia.gov/environment/emissions/carbon/
17:06:19 GMT-0600 (Mountain Daylight Time)
<b>Source:</b>  U.S. Energy Information Administration, <i>Monthly Energy Review</i>, August 2020, Table 11.3 Carbon Dioxide Emissions from Energy Consumption: Residential Sector; <br>Table 11.3 Carbon Dioxide Emissions from Energy Consumption: Commercial Sector; Table 11.4 Carbon Dioxide Emissions from Energy Consumption: Industrial Sector; <br>Table 11.5 Carbon Dioxide Emissions from Energy Consumption: Transportation Sector.<br> <strong>Note:</strong> CO2 refers to carbon dioxide.
Category,transportation million metric tons of carbon dioxide,industrial million metric tons of carbon dioxide,residential million metric tons of carbon dioxide,commercial million metric tons of carbon dioxide,total million metric tons of carbon dioxide
1990,1588,1697,963,793,5040
1991,1568,1652,980,794,4995
1992,1592,1726,981,796,5095
1993,1604,1723,1039,819,5186
1994,1644,1754,1032,833,5264
1995,1679,1754,1039,851,5323
1996,1724,1807,1099,883,5512
1997,1742,1825,1090,926,5583
1998,1779,1808,1097,947,5631
1999,1826,1785,1122,960,5693
2000,1870,1790,1185,1022,5867
2001,1849,1717,1171,1027,5765
2002,1890,1691,1203,1026,5809
2003,1891,1700,1232,1037,5860
2004,1957,1741,1227,1053,5979
2005,1984,1685,1261,1069,5999
2006,2012,1667,1191,1043,5914
2007,2018,1667,1241,1078,6003
2008,1893,1614,1235,1075,5817
2009,1825,1403,1157,1007,5392
2010,1843,1507,1210,1025,5585
2011,1809,1498,1149,990,5446
2012,1773,1481,1043,932,5229
2013,1796,1501,1100,958,5356
2014,1815,1513,1115,970,5413
2015,1839,1455,1037,932,5263
2016,1871,1424,982,894,5170
2017,1888,1430,947,867,5131
2018,1918,1462,1016,886,5281
2019,1905,1423,963,839,5130
