mAh,V
24.25105622,4.237894033
78.78116503,4.207667109
131.3211239,4.169961497
183.8610827,4.13393748
236.4010416,4.099174659
288.9410004,4.066513832
341.4809593,4.032591808
394.0209182,4.000771777
446.560877,3.970633341
499.1008359,3.940494905
551.6407947,3.911197266
604.1807536,3.880218032
656.7207124,3.852601988
709.2606713,3.822043153
761.8006301,3.79106392
814.340589,3.763447875
866.8805478,3.742558208
919.4205067,3.722929738
971.9604656,3.707505253
1024.500424,3.693341965
1077.040383,3.681280669
1129.580342,3.670900968
1182.120301,3.661362064
1234.66026,3.652243559
1287.200219,3.643545452
1339.740178,3.634426947
1392.280136,3.623206448
1444.820095,3.613667545
1497.360054,3.602867445
1549.900013,3.591226548
1602.439972,3.574961266
1654.979931,3.554491998
1707.51989,3.528137149
1760.059848,3.498419112
1812.599807,3.478790641
1865.139766,3.464206954
1917.679725,3.438692902
1963.055144,3.378583301
1994.101483,3.274842837
2013.206923,3.178703002
2027.536003,3.047251854
2041.865082,2.892062197
